>> LLP = eig(LLow)        >> LHP = eig(LHigh)        
             
   0.000000000000002      0.000000000000004
   0.339195563115088      9.238197399381781
   0.942195998227006      13.918834877793714
   1.797150818398418      20.069177852110169
   1.935679944052389      21.475489129372754
   2.792485530496582      25.100651808687552
   3.479685801908807      30.191819136112116
   6.090471995616983      33.151749992155352
   8.515148524375055      43.442742334878872
  15.821819211362842      47.315781895946444
